n,t
44,160
63,234
99,424
15,45
355,1211
326,1604
391,1971
197,805
197,645
701,3352
885,4745
473,2344
15,38
701,3555
795,3448
61,167
473,1861
178,808
678,3588
15,37
154,566
795,3415
1000,5157
585,2662
473,1879
124,537
391,1668
156,502
388,1790
150,511
156,522
130,465
678,2547
391,1850
285,1239
15,40
130,445
154,607
130,559
514,2602
61,216
523,2356
942,5109
701,3190
885,4705
224,907
156,692
178,822
61,216
942,3810
795,4287
10,25
156,581
224,769
523,1908
585,2562
844,4179
326,1561
130,520
678,2873
844,3248
1000,4560
866,4488
701,2535
388,1480
195,654
44,133
197,913
678,3045
326,1342
942,5044
178,822
124,514
473,1846
285,1118
44,140
