n,t
12,29
890,9531
411,3950
691,6083
411,3032
102,485
895,11108
691,8286
1000,10005
758,8909
893,10808
452,4761
1000,13253
310,2604
102,480
1000,10077
452,4736
769,7586
769,6541
12,34
836,10252
273,2338
273,2237
10,27
67,372
368,3530
333,2231
62,343
50,241
561,4322
691,6900
50,181
769,7595
50,185
561,4424
62,336
890,8803
95,610
413,4258
769,7263
368,2508
836,8174
758,8558
169,904
102,532
881,8756
333,2623
368,3116
640,6290
441,3498
10,27
881,10195
836,9415
12,26
441,3359
67,272
62,242
356,3039
691,6617
95,554
67,355
169,910
881,7746
333,2818
12,31
413,3668
102,525
273,1699
254,1537
640,7085
498,4059
881,8201
356,3351
102,538
640,6827
380,3221
102,499
95,442
67,336
452,3416
561,5415
893,8339
102,558
