Місто,"Населення (2014), тис."
Київ ,2869
Харків ,1451
Одеса ,1017
Дніпро,993
Донецьк ,950
Запоріжжя,766
Львів ,729
Кривий Ріг,652
Миколаїв ,495
Маріуполь ,459
Севастополь ,345
Луганськ ,424
Вінниця ,372
Сімферополь ,338
Макіївка ,352
Херсон ,298
Чернігів ,296
Полтава ,296
Черкаси ,285
Хмельницький ,266
Чернівці ,262
Житомир ,271
Суми ,269
Рівне ,250
Горлівка ,254
Івано-Франківськ ,227
Кам'янське,241
Кропивницький,233
Тернопіль ,217
Кременчук ,226
Луцьк ,216
Біла Церква ,211
Краматорськ ,163
Мелітополь ,157
Керч ,145
Ужгород ,116
Бердянськ ,116
Нікополь ,118
Слов'янськ ,117
Бровари ,99
Євпаторія ,107
Алчевськ ,110
Павлоград ,110
Сєвєродонецьк ,109
