n,t
405,502220
487,572404
356,341894
271,234408
405,490629
97,24099
544,654817
278,205900
728,1549276
428,595686
568,803402
544,769656
920,2178096
324,259469
458,562641
728,1528428
319,316466
544,789966
331,334287
835,1946323
455,516605
331,286715
790,1614201
216,148540
428,546684
728,1558479
868,1791760
1000,2589611
23,1565
331,321244
468,565235
271,189500
271,208569
278,210600
23,1974
790,1834336
356,423819
468,562680
335,336791
319,300726
835,1690513
331,293626
166,82133
243,143576
835,2169349
784,1558358
724,1484740
920,2441013
868,1974645
458,623093
335,311341
868,1772618
458,532939
458,526882
455,481571
278,198302
319,284477
271,185058
487,771227
243,192149
728,1205396
319,251238
790,1464767
428,482853
278,251035
405,458837
166,73195
291,266129
319,304857
23,1784
835,1662713
428,525800
335,281399
520,785780
10,418
243,181421
405,423147
1000,2635944
920,2493774
868,2084286
324,321317
319,260262
455,590104
784,1460023
